text,label,keyword
"Seeking companionship in NYC as someone of my age who enjoys spending time with others while also enjoying video games, hiking trails, kayaking, woodworking. I'm starting to develop Adobe After Effect software for work and movies, and I feel lonely due to this issue since I can't find a group to socialize on social media.",1,"hiking, kayak"
"In reality, the most effective way to socialize is by going out and doing things like shopping, walking around, or going for a walk.",1,"walk, park"
"My wish is to pack up and go camping for a week, but I know that returning home will be just as unpleasant as never before. I'm having sour days, so be careful what you say.",1,camping
Begin each day by implementing simple actions such as reading or taking time to walk and breathe new life experiences.,1,walk
"I am unable to escape from home and enjoy going outdoors. In addition, I plan to purchase an bmx for entertainment in the summer while attending music festivals but have no one with me on hand.",1,outside
"Do any of you have hobbies? I've been feeling a bit down lately, so I decided to take X for the time and go for AN out-and-out bike ride yesterday. It was good, not all over, but it made me feel great!",1,bike
"Since my 7-year run streak, I'm considering meditating again. It feels great when I let go of things and focus on tasks that were previously on my list for that day. Running doesn't feel like work anymore, either.",1,"running, run"
"If you're currently in college and need help styling your hair, try approaching the barber to learn what you want instead of asking for it yourself.",1,Go for a walk
"Finding a hobby to run in the summer and cross country ski in winter brings me happiness, even without the company of others.",1,run
"Good morning, my presentation is over. I've been working on building up my confidence for more challenging tasks and started doing smaller things to be calmer before going back to school. Can you suggest some activities that can help me feel less nervous?",1,running
"If you're interested in finding a hiking group, I think there are plenty of girls who like to explore nature. Although I wouldn't suggest joining any groups for the sake of dating, check out Meetup Group (at MeetUp.com) or another platform.",1,Hiking
"While I am a self-reliant student who spends most of my time hanging out with people in public, it can cause me to feel anxious and uneasy. As if this were normal, I would have no choice but to travel alone because I fear I might get lost or be abandoned.",1,outside
"Going in unperturbed is better than having a spinning head and numerous thoughts. Additionally, engaging in calming exercises like running will definitely help me feel more relaxed. You're right about being in good spirits before going outside.",1,running
"In college, I struggle with social anxiety and have not experienced it much lately. Although my online friends are scarce, toxic groupmates who tend to be the worst students in my class intimidated me during this time, making it difficult to study alone.",1,outside
Now I feel amazing.’ I went for a hike and met some really cool people there (sigh). Today I was very upset about my life today.,1,"hike, mountain"
Can someone relate to me feeling more comfortable socializing outdoors without a group of people around me at night? I feel more relaxed when I am speaking to someone else and we are walking around frequently without seeing each other.,1,"outside, walk"
"Consider shopping for or renting a movie at the cinema, and consider petting someone's dog as if it were your own companion.",1,park
"My background in teaching snowboarding helped me cope with my antisocial tendencies and SAD. Despite this, my biggest advantage was having to interact with parents, kids (and sometimes adults) as a new instructor.",1,snowboard
"There's something very cool about working as a professional with responsibilities to include animals and trees, plus the government benefits are truly amazing. I don't think I need to go to college for that reason, especially since colleges offer training on those subjects.",1,trees
"My friend, I'm not being honest with you. Running makes me feel great after a workout!",1,runner
"Well, obviously, I know how hard it is, but just go for it! : My personal favourite reason is that walking in the park feels good (I'm not back sore because I don't have to sit all day) And my friends and I also like to walk around on the trails.",1,"walk, park"
"Seeking wildlife and flora makes me feel like I'm losing my mind, and I don't know if there is counseling or someone who can provide guidance. However, it helps me reconnect with nature when I feel hopeless and have nothing to do anymore.",1,nature
"Later, a family member expressed their frustration over my lack of presence and suggested that I should be more cooperative with others.",1,outside
"By running longer distances in the open air without music and focusing on breath, I have gained a lot of insight about myself. Additionally, my practice of using weed or mushrooms has helped me more than ever before. However...I also recommend practicing yoga and meditation to help me find my way into different parts of the body so that thoughts can be heard freely.",1,"running, nature"
"Friends are often overrated and I've found that some activities require genuine effort, particularly with social anxiety. As a result, I have been spending more time alone than ever before.",1,hikes
"My partner and I have been struggling with a lack of work experience for 23 years. We are both tired of the same and finding it difficult to find time to do something meaningful. While we enjoy being productive, our current situation demands refocusing on what we have left behind today, leaving us feeling helpless and unmotivated. I am starting to lose interest in ourselves after the recent admission of my BPL program and thinking about how long I could stay away from home.",1,"outside, jog, run"
"Running is one of my favorite pastimes, especially when I'm feeling anxious. Besides running, I also like to engage in intense games with engaging stories and draw comics about emotions.",1,run
"Set aside all your thoughts and emotions, including notes. Try calming yourself down by sitting in a chair, closing your eyes, and breathing deeply. Then move from feet to legs and back to the center of your mind while feeling familiar with how your feet touch the floor and thighs touch it.",1,Go for a walk
"Also, I distanced myself from my group of pals for a time. No one would scrutinize me at this point. Tried to travel abroad by means other than home.",1,backpacking
"Taking breaks for walks on daily is a basic activity, but I have moved on from my previous patterns. I aim to stay positive and avoid making negative choices when going out. It's acceptable and beneficial for mental wellbeing; being alone means taking longer walks as it provides the only way to feel loved.",1,walk
"My age is slightly less than yours but I think that it's still a good time to hang out and be together. If you can find some inspiration, consider going for walks around town at 2 AM or even before dark falls in order to enjoy the evening.",1,"outside, walk"
"Though my resilience has improved, I feel better now than it did a year ago when I was barely leaving my house alone. I suggest challenging myself and exploring new experiences to overcome the anxiety by walking around neighborhoods with others until physical comfort becomes the norm.",1,walk
"More of a stretch, less recommended. For me, not participating in running causes me more anxiety than I would like to admit.",1,running
"Starting with a small amount of time can be done by reading 1-2-3 and cleaning up after your bathroom, or simply taking errands.",1,walk
"Having started to see my helper recently, she has helped me improve my social life by helping me go outside more often. I've been making progress since the beginning of this month and I feel like I have some control over my behavior. This has led to me becoming more comfortable with walking and going outdoors together.",1,"outside, walk"
"For students who feel anxious about their peers in the same situation, it's worth considering asking them out for a low-key activity. Although jumping off an unassuming cliff could be grueling, conversing with her in another safer environment without any gossip might help alleviate your fear.",1,"walk, park"
"Walking alone can be enjoyable, but it's not a big deal for me. I find that being alone makes me feel more at ease than walking on the same paths. Can anyone else relate to this feeling? It has been years since I took erroneous steps and now I'm feeling anxious about going out together especially in busy areas like the beach.",1,"beach,  walk, beach"
"Since leaving university, I've been feeling completely disconnected from work and social activities. My current life is filled with a constant cycle of depression that has left me feeling like I missed my purpose.",1,"run, park"
"To help me get out and enjoy the outdoors, I'll be doing the Pokemon thing. It might also make me feel a little happier; in all honesty though, The Girl with the Dragon Tattoo trilogy is one of my favorite books, along with reading the Hitchhiker's Guide to the Galaxy.",1,"outside, bike"
"While I'm sleeping at night, my favorite thing is always to have a window open and feel the rain fall on my face. I recently realized that it was actually raining outside, which has made me feel happy and full of energy even though I never sleep in bed.",1,"run, outside"
"Although I can't pinpoint the reason, it's something that I do try to avoid. I exercise frequently now that temperatures are cooler outside, but I felt overwhelmed last week due to stress.",1,"outside, runs"
"Perhaps by means of a local store, where I could purchase something on the cheap (I'm struggling with crowds and people who aren't very well-known), or even in crowded park surroundings where my efforts to compliment those around me have been yielding positive results.",1,park
"I become accustomed to it after leaving, but I'm beginning to think that starting small could be a good idea. This can range from walking to doing things more frequently.",1,"walk, outside"
"Two girls took pictures with me. Today, I went to a lake with my cousins and caught catching up with poop after seeing an adorable girl playing volleyball. I asked my closest friend of my age to join us and we played for 1-2 hours without any hesitation (I was awful)!",1,lake
Perhaps a leisurely walk in the park with some snacks to enjoy while sitting on... I'm not sure if you will find these ideas interesting but maybe jogging along some nature trails or going for shiking?,1,"Outdoor, hiking,  park, bench"
"I find myself attending movie theaters, fast food establishments and conventions to improve my mental state. However, my anxiety can cause me to behave worse when I'm too anxious, which intensifies the problem and makes it harder to cope. It's worth exploring this by taking a walk around town instead of staying in crowded areas.",1,walk
"Her hint of liking me made me feel nervous about meeting her. Despite my attempts to win her back, I'm glad I still have the same feelings and this girl who was once in our romantic life is amazing.",1,"skate, skating"
"I'd suggest taking cold showers, doing some push up exercises, or running for a good stretch. Additionally, try to get your body in motion and feel better by adding something positive.",1,running
